"TF","gene_name","n_files_with_binding","total_overlapping_peaks","cell_lines","file_accessions"
"ATF4","RAET1G",7,11,"HepG2; K562","ENCFF063OWC; ENCFF387VTI; ENCFF510BCH; ENCFF647WFG; ENCFF774BEC; ENCFF790XQI; ENCFF827GWN"
"ATF4","RAET1L",3,3,"HepG2; K562","ENCFF646IHV; ENCFF872NFM; ENCFF970NGB"
"ATF4","ULBP1",40,48,"HepG2; K562","ENCFF003DIJ; ENCFF086TAD; ENCFF121PUN; ENCFF148EKP; ENCFF182MNO; ENCFF244ROK; ENCFF250MUC; ENCFF271QTZ; ENCFF291XES; ENCFF357COB; ENCFF359LNM; ENCFF387VTI; ENCFF429QTL; ENCFF467EGX; ENCFF483XFR; ENCFF510BCH; ENCFF519GKM; ENCFF521HYG; ENCFF535BIN; ENCFF548UHD; ENCFF607BPI; ENCFF639COT; ENCFF646IHV; ENCFF662WXX; ENCFF743YVY; ENCFF768ZDS; ENCFF771LVW; ENCFF774BEC; ENCFF790XQI; ENCFF827GWN; ENCFF843PIU; ENCFF872NFM; ENCFF885VKD; ENCFF905VLK; ENCFF907SPZ; ENCFF921XMX; ENCFF939ZCA; ENCFF947KSU; ENCFF950ICB; ENCFF970NGB"
"ATF4","ULBP2",5,7,"K562","ENCFF003DIJ; ENCFF271QTZ; ENCFF429QTL; ENCFF774BEC; ENCFF872NFM"
"ATF4","ULBP3",11,21,"HepG2; K562","ENCFF063OWC; ENCFF491DNM; ENCFF548UHD; ENCFF607BPI; ENCFF647WFG; ENCFF710IEF; ENCFF827GWN; ENCFF872NFM; ENCFF921XMX; ENCFF947KSU; ENCFF970NGB"
"ATF6","MICA",9,31,"HepG2; K562","ENCFF105WAC; ENCFF154UJU; ENCFF216AMJ; ENCFF232NCQ; ENCFF342MAS; ENCFF406IRW; ENCFF415HVQ; ENCFF674HBS; ENCFF814ZYV"
"ATF6","MICB",11,24,"HepG2; K562","ENCFF105WAC; ENCFF154UJU; ENCFF216AMJ; ENCFF232NCQ; ENCFF342MAS; ENCFF406IRW; ENCFF415HVQ; ENCFF549ZNP; ENCFF660KDQ; ENCFF674HBS; ENCFF739XBN"
"ATF6","RAET1E",3,5,"HepG2","ENCFF232NCQ; ENCFF406IRW; ENCFF415HVQ"
"ATF6","ULBP1",7,17,"K562","ENCFF105WAC; ENCFF216AMJ; ENCFF342MAS; ENCFF674HBS; ENCFF814ZYV; ENCFF863ZFH; ENCFF913KVF"
"ATF6","ULBP2",7,9,"K562","ENCFF105WAC; ENCFF216AMJ; ENCFF342MAS; ENCFF674HBS; ENCFF814ZYV; ENCFF863ZFH; ENCFF913KVF"
"ATF7","MICA",32,69,"HepG2; K562; MCF-7","ENCFF008RBL; ENCFF015TCM; ENCFF053GQK; ENCFF096AMF; ENCFF116GFV; ENCFF137UAX; ENCFF203GOA; ENCFF226BRD; ENCFF260ZHZ; ENCFF276IMS; ENCFF277MGQ; ENCFF302KGG; ENCFF320ACQ; ENCFF321GWY; ENCFF371SJR; ENCFF374YBP; ENCFF378JZX; ENCFF391ODX; ENCFF406CRS; ENCFF440TAH; ENCFF504GFG; ENCFF565ZYL; ENCFF819OTE; ENCFF907ZPT; ENCFF910YCU; ENCFF926YYG; ENCFF951BFN; ENCFF953PPE; ENCFF976WEW; ENCFF988VFA; ENCFF989QUL; ENCFF998CHH"
"ATF7","MICB",28,58,"HepG2; K562; MCF-7","ENCFF053GQK; ENCFF096AMF; ENCFF116GFV; ENCFF137TPO; ENCFF203GOA; ENCFF260ZHZ; ENCFF277MGQ; ENCFF280UZU; ENCFF302KGG; ENCFF320ACQ; ENCFF371SJR; ENCFF378JZX; ENCFF391ODX; ENCFF440TAH; ENCFF465PTA; ENCFF556TCV; ENCFF565ZYL; ENCFF606UFV; ENCFF611BUY; ENCFF684VZS; ENCFF819OTE; ENCFF821WIF; ENCFF868QLL; ENCFF910YCU; ENCFF926YYG; ENCFF951BFN; ENCFF953PPE; ENCFF976WEW"
"ATF7","RAET1E",18,22,"HepG2; K562; MCF-7","ENCFF053GQK; ENCFF226BRD; ENCFF277MGQ; ENCFF302KGG; ENCFF320ACQ; ENCFF378JZX; ENCFF440TAH; ENCFF556TCV; ENCFF565ZYL; ENCFF571UHE; ENCFF606UFV; ENCFF684VZS; ENCFF819OTE; ENCFF821WIF; ENCFF910YCU; ENCFF926YYG; ENCFF976WEW; ENCFF988VFA"
"ATF7","RAET1G",19,28,"HepG2; K562; MCF-7","ENCFF053GQK; ENCFF078LOY; ENCFF137TPO; ENCFF203GOA; ENCFF226BRD; ENCFF277MGQ; ENCFF302KGG; ENCFF374YBP; ENCFF378JZX; ENCFF391ODX; ENCFF440TAH; ENCFF556TCV; ENCFF565ZYL; ENCFF606UFV; ENCFF819OTE; ENCFF833YAM; ENCFF910YCU; ENCFF926YYG; ENCFF976WEW"
"ATF7","RAET1L",17,23,"HepG2; K562; MCF-7","ENCFF015TCM; ENCFF053GQK; ENCFF137TPO; ENCFF137UAX; ENCFF203GOA; ENCFF260ZHZ; ENCFF277MGQ; ENCFF391ODX; ENCFF556TCV; ENCFF565ZYL; ENCFF606UFV; ENCFF611BUY; ENCFF684VZS; ENCFF819OTE; ENCFF926YYG; ENCFF988VFA; ENCFF989QUL"
"ATF7","ULBP1",32,52,"HepG2; K562; MCF-7","ENCFF008RBL; ENCFF015TCM; ENCFF053GQK; ENCFF078LOY; ENCFF096AMF; ENCFF116GFV; ENCFF137TPO; ENCFF137UAX; ENCFF203GOA; ENCFF226BRD; ENCFF260ZHZ; ENCFF277MGQ; ENCFF320ACQ; ENCFF371SJR; ENCFF378JZX; ENCFF391ODX; ENCFF406CRS; ENCFF440TAH; ENCFF465PTA; ENCFF556TCV; ENCFF565ZYL; ENCFF571UHE; ENCFF611BUY; ENCFF684VZS; ENCFF819OTE; ENCFF907ZPT; ENCFF910YCU; ENCFF926YYG; ENCFF951BFN; ENCFF953PPE; ENCFF988VFA; ENCFF989QUL"
"ATF7","ULBP2",25,40,"HepG2; K562; MCF-7","ENCFF008RBL; ENCFF053GQK; ENCFF116GFV; ENCFF137TPO; ENCFF137UAX; ENCFF226BRD; ENCFF277MGQ; ENCFF320ACQ; ENCFF371SJR; ENCFF374YBP; ENCFF378JZX; ENCFF440TAH; ENCFF465PTA; ENCFF556TCV; ENCFF571UHE; ENCFF684VZS; ENCFF819OTE; ENCFF833YAM; ENCFF910YCU; ENCFF926YYG; ENCFF951BFN; ENCFF953PPE; ENCFF988VFA; ENCFF989QUL; ENCFF998CHH"
"ATF7","ULBP3",30,55,"HepG2; K562; MCF-7","ENCFF015TCM; ENCFF053GQK; ENCFF096AMF; ENCFF116GFV; ENCFF203GOA; ENCFF277MGQ; ENCFF280UZU; ENCFF302KGG; ENCFF320ACQ; ENCFF371SJR; ENCFF374YBP; ENCFF378JZX; ENCFF391ODX; ENCFF440TAH; ENCFF556TCV; ENCFF565ZYL; ENCFF606UFV; ENCFF611BUY; ENCFF658YLW; ENCFF684VZS; ENCFF819OTE; ENCFF821WIF; ENCFF868QLL; ENCFF907ZPT; ENCFF910YCU; ENCFF926YYG; ENCFF951BFN; ENCFF953PPE; ENCFF976WEW; ENCFF998CHH"
"BACH1","MICA",20,41,"K562","ENCFF026BDA; ENCFF063XMG; ENCFF070TER; ENCFF091TOR; ENCFF222GZQ; ENCFF254CVJ; ENCFF276CQA; ENCFF356MDE; ENCFF416UYQ; ENCFF443POG; ENCFF528PVS; ENCFF603QNY; ENCFF678TXX; ENCFF706CJY; ENCFF755GPS; ENCFF772XDS; ENCFF795UBE; ENCFF830GYV; ENCFF877YDP; ENCFF920UVB"
