"file","file_name","file_accession","TF_clean","cell_line","assay","output_type","file_format"
"./ENCFF721HDQ.bed.gz","ENCFF721HDQ.bed.gz","ENCFF721HDQ","CREB1","MCF-7","TF ChIP-seq","IDR ranked peaks","bed idr_ranked_peak"
"./ENCFF721HUX.bed.gz","ENCFF721HUX.bed.gz","ENCFF721HUX","JUND","HepG2","TF ChIP-seq","optimal IDR thresholded peaks","bed narrowPeak"
"./ENCFF721KHE.bed.gz","ENCFF721KHE.bed.gz","ENCFF721KHE","CEBPB","HepG2","TF ChIP-seq","peaks and background as input for IDR","bed narrowPeak"
"./ENCFF721SBW.bed.gz","ENCFF721SBW.bed.gz","ENCFF721SBW","SP1","HepG2","TF ChIP-seq","peaks and background as input for IDR","bed narrowPeak"
"./ENCFF721SZO.bed.gz","ENCFF721SZO.bed.gz","ENCFF721SZO","CREB1","HepG2","TF ChIP-seq","conservative IDR thresholded peaks","bed narrowPeak"
"./ENCFF723BYF.bed.gz","ENCFF723BYF.bed.gz","ENCFF723BYF","ATF3","HCT116","TF ChIP-seq","IDR thresholded peaks","bed narrowPeak"
"./ENCFF723HSS.bed.gz","ENCFF723HSS.bed.gz","ENCFF723HSS","CREB1","HepG2","TF ChIP-seq","IDR thresholded peaks","bed narrowPeak"
"./ENCFF723JNI.bed.gz","ENCFF723JNI.bed.gz","ENCFF723JNI","KLF6","K562","TF ChIP-seq","conservative IDR thresholded peaks","bed narrowPeak"
"./ENCFF723PUY.bed.gz","ENCFF723PUY.bed.gz","ENCFF723PUY","FOSL2","SK-N-SH","TF ChIP-seq","IDR thresholded peaks","bed narrowPeak"
"./ENCFF724XGS.bed.gz","ENCFF724XGS.bed.gz","ENCFF724XGS","CREB1","HepG2","TF ChIP-seq","IDR thresholded peaks","bed narrowPeak"
"./ENCFF725LNH.bed.gz","ENCFF725LNH.bed.gz","ENCFF725LNH","ATF1","K562","TF ChIP-seq","IDR ranked peaks","bed idr_ranked_peak"
"./ENCFF725ZKM.bed.gz","ENCFF725ZKM.bed.gz","ENCFF725ZKM","ATF3","HepG2","TF ChIP-seq","peaks and background as input for IDR","bed narrowPeak"
"./ENCFF727VKV.bed.gz","ENCFF727VKV.bed.gz","ENCFF727VKV","CLOCK","K562","TF ChIP-seq","IDR ranked peaks","bed idr_ranked_peak"
"./ENCFF727XCA.bed.gz","ENCFF727XCA.bed.gz","ENCFF727XCA","JUN","MCF-7","TF ChIP-seq","IDR thresholded peaks","bed narrowPeak"
"./ENCFF728KXV.bed.gz","ENCFF728KXV.bed.gz","ENCFF728KXV","NFE2L2","HeLa-S3","TF ChIP-seq","IDR ranked peaks","bed idr_ranked_peak"
"./ENCFF729JFO.bed.gz","ENCFF729JFO.bed.gz","ENCFF729JFO","CLOCK","MCF-7","TF ChIP-seq","IDR ranked peaks","bed idr_ranked_peak"
"./ENCFF730MAR.bed.gz","ENCFF730MAR.bed.gz","ENCFF730MAR","SP1","HepG2","TF ChIP-seq","IDR ranked peaks","bed idr_ranked_peak"
"./ENCFF731IFM.bed.gz","ENCFF731IFM.bed.gz","ENCFF731IFM","ATF2","HepG2","TF ChIP-seq","peaks and background as input for IDR","bed narrowPeak"
"./ENCFF731OHW.bed.gz","ENCFF731OHW.bed.gz","ENCFF731OHW","CREB1","K562","TF ChIP-seq","IDR thresholded peaks","bed narrowPeak"
"./ENCFF731SIP.bed.gz","ENCFF731SIP.bed.gz","ENCFF731SIP","ATF3","K562","TF ChIP-seq","IDR thresholded peaks","bed narrowPeak"
"./ENCFF732KKY.bed.gz","ENCFF732KKY.bed.gz","ENCFF732KKY","CREB1","HepG2","TF ChIP-seq","peaks and background as input for IDR","bed narrowPeak"
"./ENCFF732KRW.bed.gz","ENCFF732KRW.bed.gz","ENCFF732KRW","NFE2L1","K562","TF ChIP-seq","peaks and background as input for IDR","bed narrowPeak"
"./ENCFF732ZLF.bed.gz","ENCFF732ZLF.bed.gz","ENCFF732ZLF","PBX3","A549","TF ChIP-seq","conservative IDR thresholded peaks","bed narrowPeak"
"./ENCFF734HUF.bed.gz","ENCFF734HUF.bed.gz","ENCFF734HUF","JUND","HeLa-S3","TF ChIP-seq","IDR ranked peaks","bed idr_ranked_peak"
"./ENCFF734PRL.bed.gz","ENCFF734PRL.bed.gz","ENCFF734PRL","MAFF","HepG2","TF ChIP-seq","IDR ranked peaks","bed idr_ranked_peak"
"./ENCFF734RDL.bed.gz","ENCFF734RDL.bed.gz","ENCFF734RDL","TBP","HepG2","TF ChIP-seq","IDR thresholded peaks","bed narrowPeak"
"./ENCFF734WVJ.bed.gz","ENCFF734WVJ.bed.gz","ENCFF734WVJ","CREB1","MCF-7","TF ChIP-seq","IDR ranked peaks","bed idr_ranked_peak"
"./ENCFF734XVK.bed.gz","ENCFF734XVK.bed.gz","ENCFF734XVK","FOSL2","HepG2","TF ChIP-seq","IDR ranked peaks","bed idr_ranked_peak"
"./ENCFF735OJR.bed.gz","ENCFF735OJR.bed.gz","ENCFF735OJR","MAFF","HepG2","TF ChIP-seq","peaks and background as input for IDR","bed narrowPeak"
"./ENCFF735QWM.bed.gz","ENCFF735QWM.bed.gz","ENCFF735QWM","CEBPB","HCT116","TF ChIP-seq","IDR ranked peaks","bed idr_ranked_peak"
"./ENCFF735WMX.bed.gz","ENCFF735WMX.bed.gz","ENCFF735WMX","SP1","HepG2","TF ChIP-seq","optimal IDR thresholded peaks","bed narrowPeak"
"./ENCFF736JLN.bed.gz","ENCFF736JLN.bed.gz","ENCFF736JLN","FOS","HeLa-S3","TF ChIP-seq","IDR thresholded peaks","bed narrowPeak"
"./ENCFF736LSP.bed.gz","ENCFF736LSP.bed.gz","ENCFF736LSP","JUNB","K562","TF ChIP-seq","peaks and background as input for IDR","bed narrowPeak"
"./ENCFF737CTQ.bed.gz","ENCFF737CTQ.bed.gz","ENCFF737CTQ","NFE2L2","HeLa-S3","TF ChIP-seq","peaks and background as input for IDR","bed narrowPeak"
"./ENCFF737KKO.bed.gz","ENCFF737KKO.bed.gz","ENCFF737KKO","ATF2","HepG2","TF ChIP-seq","conservative IDR thresholded peaks","bed narrowPeak"
"./ENCFF737ZGG.bed.gz","ENCFF737ZGG.bed.gz","ENCFF737ZGG","ATF3","K562","TF ChIP-seq","conservative IDR thresholded peaks","bed narrowPeak"
"./ENCFF737ZVZ.bed.gz","ENCFF737ZVZ.bed.gz","ENCFF737ZVZ","CEBPB","A549","TF ChIP-seq","IDR ranked peaks","bed idr_ranked_peak"
"./ENCFF738FFA.bed.gz","ENCFF738FFA.bed.gz","ENCFF738FFA","CREB3","K562","TF ChIP-seq","IDR ranked peaks","bed idr_ranked_peak"
"./ENCFF738FFP.bed.gz","ENCFF738FFP.bed.gz","ENCFF738FFP","JUND","HepG2","TF ChIP-seq","IDR thresholded peaks","bed narrowPeak"
"./ENCFF738LQC.bed.gz","ENCFF738LQC.bed.gz","ENCFF738LQC","CREB1","HepG2","TF ChIP-seq","IDR thresholded peaks","bed narrowPeak"
"./ENCFF738UHD.bed.gz","ENCFF738UHD.bed.gz","ENCFF738UHD","JUN","MCF-7","TF ChIP-seq","IDR ranked peaks","bed idr_ranked_peak"
"./ENCFF739MPC.bed.gz","ENCFF739MPC.bed.gz","ENCFF739MPC","ELK1","K562","TF ChIP-seq","IDR ranked peaks","bed idr_ranked_peak"
"./ENCFF739XBN.bed.gz","ENCFF739XBN.bed.gz","ENCFF739XBN","ATF6","HepG2","TF ChIP-seq","IDR thresholded peaks","bed narrowPeak"
"./ENCFF739XTO.bed.gz","ENCFF739XTO.bed.gz","ENCFF739XTO","JUNB","K562","TF ChIP-seq","optimal IDR thresholded peaks","bed narrowPeak"
"./ENCFF740AAG.bed.gz","ENCFF740AAG.bed.gz","ENCFF740AAG","JUN","HepG2","TF ChIP-seq","IDR thresholded peaks","bed narrowPeak"
"./ENCFF740JTO.bed.gz","ENCFF740JTO.bed.gz","ENCFF740JTO","JUND","HCT116","TF ChIP-seq","IDR ranked peaks","bed idr_ranked_peak"
"./ENCFF740QPT.bed.gz","ENCFF740QPT.bed.gz","ENCFF740QPT","SP1","HepG2","TF ChIP-seq","peaks and background as input for IDR","bed narrowPeak"
"./ENCFF740TUD.bed.gz","ENCFF740TUD.bed.gz","ENCFF740TUD","JUN","A549","TF ChIP-seq","IDR ranked peaks","bed idr_ranked_peak"
"./ENCFF741LKD.bed.gz","ENCFF741LKD.bed.gz","ENCFF741LKD","JUNB","K562","TF ChIP-seq","IDR ranked peaks","bed idr_ranked_peak"
"./ENCFF741WKY.bed.gz","ENCFF741WKY.bed.gz","ENCFF741WKY","SP1","HepG2","TF ChIP-seq","optimal IDR thresholded peaks","bed narrowPeak"
"./ENCFF741ZMC.bed.gz","ENCFF741ZMC.bed.gz","ENCFF741ZMC","ELK1","K562","TF ChIP-seq","IDR ranked peaks","bed idr_ranked_peak"
"./ENCFF742EDV.bed.gz","ENCFF742EDV.bed.gz","ENCFF742EDV","CREB3","HepG2","TF ChIP-seq","IDR thresholded peaks","bed narrowPeak"
"./ENCFF742EMB.bed.gz","ENCFF742EMB.bed.gz","ENCFF742EMB","CREB1","HepG2","TF ChIP-seq","peaks and background as input for IDR","bed narrowPeak"
"./ENCFF742HOV.bed.gz","ENCFF742HOV.bed.gz","ENCFF742HOV","MAFK","HeLa-S3","TF ChIP-seq","peaks and background as input for IDR","bed narrowPeak"
"./ENCFF742YSJ.bed.gz","ENCFF742YSJ.bed.gz","ENCFF742YSJ","PBX3","A549","TF ChIP-seq","IDR ranked peaks","bed idr_ranked_peak"
"./ENCFF743YVY.bed.gz","ENCFF743YVY.bed.gz","ENCFF743YVY","ATF4","K562","TF ChIP-seq","IDR thresholded peaks","bed narrowPeak"
"./ENCFF744HGY.bed.gz","ENCFF744HGY.bed.gz","ENCFF744HGY","NPAS2","HepG2","TF ChIP-seq","IDR thresholded peaks","bed narrowPeak"
"./ENCFF744NXL.bed.gz","ENCFF744NXL.bed.gz","ENCFF744NXL","CREM","K562","TF ChIP-seq","conservative IDR thresholded peaks","bed narrowPeak"
"./ENCFF744SEA.bed.gz","ENCFF744SEA.bed.gz","ENCFF744SEA","CEBPB","A549","TF ChIP-seq","conservative IDR thresholded peaks","bed narrowPeak"
"./ENCFF744YKK.bed.gz","ENCFF744YKK.bed.gz","ENCFF744YKK","CREM","HepG2","TF ChIP-seq","IDR ranked peaks","bed idr_ranked_peak"
"./ENCFF745STH.bed.gz","ENCFF745STH.bed.gz","ENCFF745STH","FOSB","A549","TF ChIP-seq","IDR thresholded peaks","bed narrowPeak"
"./ENCFF745TPX.bed.gz","ENCFF745TPX.bed.gz","ENCFF745TPX","NFE2","HepG2","TF ChIP-seq","IDR thresholded peaks","bed narrowPeak"
"./ENCFF746HGW.bed.gz","ENCFF746HGW.bed.gz","ENCFF746HGW","ETS2","K562","TF ChIP-seq","IDR ranked peaks","bed idr_ranked_peak"
"./ENCFF747DHB.bed.gz","ENCFF747DHB.bed.gz","ENCFF747DHB","CREB1","MCF-7","TF ChIP-seq","IDR ranked peaks","bed idr_ranked_peak"
"./ENCFF748CBU.bed.gz","ENCFF748CBU.bed.gz","ENCFF748CBU","MAFG","K562","TF ChIP-seq","peaks and background as input for IDR","bed narrowPeak"
"./ENCFF748PEZ.bed.gz","ENCFF748PEZ.bed.gz","ENCFF748PEZ","JUND","K562","TF ChIP-seq","IDR ranked peaks","bed idr_ranked_peak"
"./ENCFF749DAY.bed.gz","ENCFF749DAY.bed.gz","ENCFF749DAY","ETS1","HepG2","TF ChIP-seq","peaks and background as input for IDR","bed narrowPeak"
"./ENCFF749LDF.bed.gz","ENCFF749LDF.bed.gz","ENCFF749LDF","ATF2","HepG2","TF ChIP-seq","peaks and background as input for IDR","bed narrowPeak"
"./ENCFF749ZWC.bed.gz","ENCFF749ZWC.bed.gz","ENCFF749ZWC","JUND","SK-N-SH","TF ChIP-seq","IDR ranked peaks","bed idr_ranked_peak"
"./ENCFF749ZWZ.bed.gz","ENCFF749ZWZ.bed.gz","ENCFF749ZWZ","CREB3","HepG2","TF ChIP-seq","IDR ranked peaks","bed idr_ranked_peak"
"./ENCFF750CVD.bed.gz","ENCFF750CVD.bed.gz","ENCFF750CVD","MAFF","HeLa-S3","TF ChIP-seq","peaks and background as input for IDR","bed narrowPeak"
"./ENCFF750FGO.bed.gz","ENCFF750FGO.bed.gz","ENCFF750FGO","MAFK","MCF-7","TF ChIP-seq","IDR ranked peaks","bed idr_ranked_peak"
"./ENCFF750HPK.bed.gz","ENCFF750HPK.bed.gz","ENCFF750HPK","ATF2","HepG2","TF ChIP-seq","peaks and background as input for IDR","bed narrowPeak"
