ModelID	CellLineName	StrippedCellLineName	CCLEName	OncotreeLineage	OncotreePrimaryDisease	OncotreeSubtype	Gene	GeneEffect
ACH-000200	NMC-G1	NMCG1	NMCG1_CENTRAL_NERVOUS_SYSTEM	CNS/Brain	Diffuse Glioma	Glioblastoma	ULBP2	0.143131480460893
ACH-000200	NMC-G1	NMCG1	NMCG1_CENTRAL_NERVOUS_SYSTEM	CNS/Brain	Diffuse Glioma	Glioblastoma	ULBP3	-0.0682314961059606
ACH-000200	NMC-G1	NMCG1	NMCG1_CENTRAL_NERVOUS_SYSTEM	CNS/Brain	Diffuse Glioma	Glioblastoma	ULBP4	0.320959349421817
ACH-000200	NMC-G1	NMCG1	NMCG1_CENTRAL_NERVOUS_SYSTEM	CNS/Brain	Diffuse Glioma	Glioblastoma	ULBP5	0.0738172025304363
ACH-000200	NMC-G1	NMCG1	NMCG1_CENTRAL_NERVOUS_SYSTEM	CNS/Brain	Diffuse Glioma	Glioblastoma	ULBP6	-0.0116734733382313
ACH-000247	OCUM-1	OCUM1	OCUM1_STOMACH	Esophagus/Stomach	Esophagogastric Adenocarcinoma	Diffuse Type Stomach Adenocarcinoma	MICA	0.0408275848943658
ACH-000247	OCUM-1	OCUM1	OCUM1_STOMACH	Esophagus/Stomach	Esophagogastric Adenocarcinoma	Diffuse Type Stomach Adenocarcinoma	MICB	-0.381158806394573
ACH-000247	OCUM-1	OCUM1	OCUM1_STOMACH	Esophagus/Stomach	Esophagogastric Adenocarcinoma	Diffuse Type Stomach Adenocarcinoma	ULBP1	-0.117785397577188
ACH-000247	OCUM-1	OCUM1	OCUM1_STOMACH	Esophagus/Stomach	Esophagogastric Adenocarcinoma	Diffuse Type Stomach Adenocarcinoma	ULBP2	-0.227227731153738
ACH-000247	OCUM-1	OCUM1	OCUM1_STOMACH	Esophagus/Stomach	Esophagogastric Adenocarcinoma	Diffuse Type Stomach Adenocarcinoma	ULBP3	0.217638842928589
ACH-000247	OCUM-1	OCUM1	OCUM1_STOMACH	Esophagus/Stomach	Esophagogastric Adenocarcinoma	Diffuse Type Stomach Adenocarcinoma	ULBP4	0.0333821800008128
ACH-000247	OCUM-1	OCUM1	OCUM1_STOMACH	Esophagus/Stomach	Esophagogastric Adenocarcinoma	Diffuse Type Stomach Adenocarcinoma	ULBP5	-0.239306775470561
ACH-000247	OCUM-1	OCUM1	OCUM1_STOMACH	Esophagus/Stomach	Esophagogastric Adenocarcinoma	Diffuse Type Stomach Adenocarcinoma	ULBP6	0.0775103179462698
ACH-000261	RERF-LC-AI	RERFLCAI	RERFLCAI_LUNG	Lung	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	MICA	-0.0689671754086197
ACH-000261	RERF-LC-AI	RERFLCAI	RERFLCAI_LUNG	Lung	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	MICB	-0.0504737956790651
ACH-000261	RERF-LC-AI	RERFLCAI	RERFLCAI_LUNG	Lung	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	ULBP1	0.100784650481543
ACH-000261	RERF-LC-AI	RERFLCAI	RERFLCAI_LUNG	Lung	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	ULBP2	-0.343726263869004
ACH-000261	RERF-LC-AI	RERFLCAI	RERFLCAI_LUNG	Lung	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	ULBP3	-0.144747119240621
ACH-000261	RERF-LC-AI	RERFLCAI	RERFLCAI_LUNG	Lung	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	ULBP4	0.136660821265896
ACH-000261	RERF-LC-AI	RERFLCAI	RERFLCAI_LUNG	Lung	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	ULBP5	-0.117882593279499
