"CAR_Variant","n_cells","S_mean","G2M_mean","NKG2DL_mean","S_z","G2M_z","NKG2DL_z","CD4-CM","CD4-EM","CD4-Naive","CD8-CM","CD8-EM","CD8-Naive","CD8-TEMRA","gdT","MAIT","Treg","radius_fixed"
"CD4-K1",186,-0.163725019010404,-0.0880770847290039,0.027148080226714,0.280287962808847,0.261737297710354,-0.288729284152979,0,0.0376344086021505,0,0,0.0376344086021505,0,0,0,0,0,0.24
"CD4-K1",186,-0.163725019010404,-0.0880770847290039,0.027148080226714,0.280287962808847,0.261737297710354,-0.288729284152979,0,0,0.0537634408602151,0,0,0,0,0,0,0,0.24
"CD4-K1",186,-0.163725019010404,-0.0880770847290039,0.027148080226714,0.280287962808847,0.261737297710354,-0.288729284152979,0,0,0,0.586021505376344,0,0,0,0,0,0,0.24
"CD4-K1",186,-0.163725019010404,-0.0880770847290039,0.027148080226714,0.280287962808847,0.261737297710354,-0.288729284152979,0,0,0,0,0,0.0967741935483871,0,0,0,0,0.24
"CD4-K1",186,-0.163725019010404,-0.0880770847290039,0.027148080226714,0.280287962808847,0.261737297710354,-0.288729284152979,0,0,0,0,0,0,0.010752688172043,0,0.010752688172043,0,0.24
"CD4-K1",186,-0.163725019010404,-0.0880770847290039,0.027148080226714,0.280287962808847,0.261737297710354,-0.288729284152979,0,0,0,0,0,0,0,0,0,0.0752688172043011,0.24
"CD4-K1",186,-0.163725019010404,-0.0880770847290039,0.027148080226714,0.280287962808847,0.261737297710354,-0.288729284152979,0,0,0,0,0,0,0,0.0483870967741935,0,0,0.24
"HVEM-CD79B",195,-0.144150005243525,-0.100588761304624,0.0315667778395364,0.501239061905199,0.11796629249016,0.317805431419789,0.128205128205128,0,0,0,0,0,0,0,0,0,0.24
"HVEM-CD79B",195,-0.144150005243525,-0.100588761304624,0.0315667778395364,0.501239061905199,0.11796629249016,0.317805431419789,0,0.348717948717949,0,0,0,0,0,0,0,0,0.24
"HVEM-CD79B",195,-0.144150005243525,-0.100588761304624,0.0315667778395364,0.501239061905199,0.11796629249016,0.317805431419789,0,0,0.0666666666666667,0,0,0,0,0,0,0,0.24
"HVEM-CD79B",195,-0.144150005243525,-0.100588761304624,0.0315667778395364,0.501239061905199,0.11796629249016,0.317805431419789,0,0,0,0.353846153846154,0,0,0,0,0,0,0.24
"HVEM-CD79B",195,-0.144150005243525,-0.100588761304624,0.0315667778395364,0.501239061905199,0.11796629249016,0.317805431419789,0,0,0,0,0.0102564102564103,0,0,0,0,0,0.24
"HVEM-CD79B",195,-0.144150005243525,-0.100588761304624,0.0315667778395364,0.501239061905199,0.11796629249016,0.317805431419789,0,0,0,0,0,0.0358974358974359,0,0,0,0,0.24
"HVEM-CD79B",195,-0.144150005243525,-0.100588761304624,0.0315667778395364,0.501239061905199,0.11796629249016,0.317805431419789,0,0,0,0,0,0,0.00512820512820513,0,0.00512820512820513,0,0.24
"HVEM-CD79B",195,-0.144150005243525,-0.100588761304624,0.0315667778395364,0.501239061905199,0.11796629249016,0.317805431419789,0,0,0,0,0,0,0,0,0,0.0307692307692308,0.24
"HVEM-CD79B",195,-0.144150005243525,-0.100588761304624,0.0315667778395364,0.501239061905199,0.11796629249016,0.317805431419789,0,0,0,0,0,0,0,0.0153846153846154,0,0,0.24
"TIM1-CD3G",124,-0.236783550637009,-0.187019446449851,0.0292759577026717,-0.544353238137704,-0.875204080009103,0.00335487112130143,0.169354838709677,0,0,0,0,0,0,0,0,0,0.24
"TIM1-CD3G",124,-0.236783550637009,-0.187019446449851,0.0292759577026717,-0.544353238137704,-0.875204080009103,0.00335487112130143,0,0.0806451612903226,0,0,0,0,0,0,0,0,0.24
"TIM1-CD3G",124,-0.236783550637009,-0.187019446449851,0.0292759577026717,-0.544353238137704,-0.875204080009103,0.00335487112130143,0,0,0.17741935483871,0,0,0,0,0,0,0,0.24
"TIM1-CD3G",124,-0.236783550637009,-0.187019446449851,0.0292759577026717,-0.544353238137704,-0.875204080009103,0.00335487112130143,0,0,0,0.314516129032258,0,0,0,0,0,0,0.24
"TIM1-CD3G",124,-0.236783550637009,-0.187019446449851,0.0292759577026717,-0.544353238137704,-0.875204080009103,0.00335487112130143,0,0,0,0,0.032258064516129,0,0,0,0,0,0.24
"TIM1-CD3G",124,-0.236783550637009,-0.187019446449851,0.0292759577026717,-0.544353238137704,-0.875204080009103,0.00335487112130143,0,0,0,0,0,0.120967741935484,0,0,0,0,0.24
"TIM1-CD3G",124,-0.236783550637009,-0.187019446449851,0.0292759577026717,-0.544353238137704,-0.875204080009103,0.00335487112130143,0,0,0,0,0,0,0.0725806451612903,0,0,0,0.24
"TIM1-CD3G",124,-0.236783550637009,-0.187019446449851,0.0292759577026717,-0.544353238137704,-0.875204080009103,0.00335487112130143,0,0,0,0,0,0,0,0,0.00806451612903226,0,0.24
"TIM1-CD3G",124,-0.236783550637009,-0.187019446449851,0.0292759577026717,-0.544353238137704,-0.875204080009103,0.00335487112130143,0,0,0,0,0,0,0,0.0241935483870968,0,0,0.24
"TIM1-CD79B",2211,-0.0725300201211991,0.0229372089550161,0.0252389902668172,1.30964280652059,1.53739659886759,-0.550781462710901,0.0104025327905925,0,0,0,0,0,0,0,0,0,0.24
"TIM1-CD79B",2211,-0.0725300201211991,0.0229372089550161,0.0252389902668172,1.30964280652059,1.53739659886759,-0.550781462710901,0,0.0126639529624604,0,0,0,0,0,0,0,0,0.24
"TIM1-CD79B",2211,-0.0725300201211991,0.0229372089550161,0.0252389902668172,1.30964280652059,1.53739659886759,-0.550781462710901,0,0,0.0800542740841248,0,0,0,0,0,0,0,0.24
"TIM1-CD79B",2211,-0.0725300201211991,0.0229372089550161,0.0252389902668172,1.30964280652059,1.53739659886759,-0.550781462710901,0,0,0,0.449118046132972,0,0,0,0,0,0,0.24
