SYMBOL,D1_UTD,D2_UTD,D3_UTD,D1_NKG2D,D2_NKG2D,D3_NKG2D,D1_N_1012,D2_N_1012,D3_N_1012,D1_NZ,D2_NZ,D3_NZ,D1_NZ_10,D3_NZ_10,D1_N_10Z,D2_N_10Z,D3_N_10Z
AHCYP3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AHCYP4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AHCYP5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AHCYP7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AHNAK2,0,0,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0
AHSA1,1777,2352.999,1277,2582,1064.999,1054.001,3357.997,1245.9999999999998,5345,5701,1550.9999999999998,4891.6500000000005,1739,8687.096000000001,2463.0000000000005,1425,11880.081
AIDAP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIFM1P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIG1P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIMP1P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJM1,101,297.718,109,90,30,35,37.08,47,111.12,61.153,116,229.665,25.065,229.237,36.091,99.212,181.192
AK2P1,1.088,1.121,0,2.199,0,0,0,0,0,1.104,1.091,0,0,3.474,1.14,0,2.285
AK3P3,0,1,1,0,3,2,0,2,2,0,0,1,1,1,0,2,7
AK3P4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK3P7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AK4P5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK6P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK6P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK7,2,4,0,9,2,1,2,0,0,1,2,3,0,3,0,1,7
AKAIN1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
AKAP11,490,1703.069,385,1132,418,301,396,560,1150,995,714,1476.001,407,1721,396,870,2394
AKAP3,18,42,26,23,5,10,12,8,12.002,12,12,17,6,20,7,11,22
AKAP5,142,509,50,171,63,31,45,259,303,117,387,774,123,462.962,35,361,485
AKAP8P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKIRIN1P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKIRIN2,1105,2636.637,790,1305,974,517,1016,985,1322.903,1327.165,1406.464,1679.037,701,2228.268,542,1181,2993
AKR1B10P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKR1B15,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0
AKR1B1P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKR1C8,3,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
AKR7A3,2,1,2.096,0,1,0,8.014,0,9,8,2.002,10.016,5,13.983,2,2,15.009
ALDH18A1,773,3332.0000000000005,1290.0900000000001,1612,1016.9989999999999,997.005,1927.9999999999998,1711.344,4735.4439999999995,3507.503,1707.1169999999997,4416.000999999999,1082,6034.861000000001,1524.999,1563.2980000000002,8670.06
ALDH1B1,210,642,329,438,240,289,874,362,1692,1331,376,1220,553,2151,560,399,3482.0150000000003
ALDH7A1P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALDH7A1P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG10,56,182.00799999999998,58.00000000000001,106.001,99.643,59,106,115.828,272.988,242.84300000000002,95.99900000000001,264.47900000000004,105.001,398.117,85,119.72800000000001,597.1669999999999
ALG10B,110,271.99199999999996,52,143.999,152.356,58,142,116.26100000000001,281.075,269.158,135.00000000000003,281.482,106.00099999999999,435.526,118,123.27199999999999,721.228
ALG11,239.931,1105.4689999999998,414.745,504.697,278.95500000000004,296.609,252.72,358.25300000000004,831.278,477.451,449.18699999999995,810.9549999999999,357.659,1116.2740000000001,219.10200000000003,403.473,1570.675
ALG1L10P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG1L11P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG1L2,0,4,1,0,7,0,2,6.012,0,0,1,0,0,0,1,2,1.089
ALG1L3P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG1L5P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG1L8P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG3P1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ALKAL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALKBH4,255.06,880.031,252.264,270.287,260.709,184.629,271.933,234.27700000000002,445.246,426.17999999999995,364.892,443.387,126.80199999999999,730.79,132.135,233.73999999999998,826.186
ALKBH5,1415,4636.327,2137.782,1699.923,1121.918,1230,1567.932,1436.966,3312.913,3074.8,2085.505,4515,765,6389.485,1182.675,1808.826,7593.436
