gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,CAR,neg_log10_padj,gene_group
MCM2,5605.334035023605,2.115958129435284,0.7243521420646373,2.9211732892845745,0.00348715806239789,0.03619819718452352,NKG2D/Dap10-12,1.441313058536174,Proliferation
MCM3,4624.870350814302,1.256163165124805,0.4293115610309648,2.925994264184752,0.00343357267785306,0.03588682737222202,NKG2D/Dap10-12,1.4450649344123982,Proliferation
MCM4,4604.829875438745,1.6395074215490544,0.6706092861825343,2.4448027418200615,0.01449313862752053,0.08511931801624557,NKG2D/Dap10-12,1.0699718646421639,Proliferation
MICA,108.67850622643223,-0.16880606528961367,0.33775301321206913,-0.4997914413382993,0.6172219376547803,0.7894318517363155,NKG2D/Dap10-12,0.10268535481629298,NA
MICB,671.3195867285755,0.4633733643298791,0.2753936436272471,1.6825855463718244,0.0924553516347556,0.2663258289874963,NKG2D/Dap10-12,0.574586712484156,NA
MKI67,1898.8567532480488,0.13834842482180562,0.8108372869867118,0.17062415239430512,0.8645193055433571,0.9352195249210375,NKG2D/Dap10-12,0.029086434826380878,Proliferation
NKG7,11528.811850720756,-0.9545717128389328,0.4426073948661504,-2.156700777960581,0.03102898634232767,0.13388319340134036,NKG2D/Dap10-12,0.8732739373357685,Cytotoxicity
NPW,231.1274626061899,5.84538127829456,1.2281000703322398,4.759694604294909,1.9388610478958716e-6,3.524572404924995e-4,NKG2D/Dap10-12,3.452893563338013,Activation
PCNA,9527.029658196374,1.6015244019145476,0.4441822928130679,3.605556610039252,3.1148457762756823e-4,0.00846329092593054,NKG2D/Dap10-12,2.0724607299799103,Proliferation
PRF1,10971.366635093616,-1.018484805147979,0.4720597703325433,-2.157533577645274,0.03096411378866963,0.13367882882470605,NKG2D/Dap10-12,0.8739373680009278,Cytotoxicity
RAET1E,1.7582972757107589,-2.0365599961429233,4.638729716823759,-0.43903398569585145,0.660636910879161,NA,NKG2D/Dap10-12,0,NA
RGS16,2289.1352456984127,4.096047333357362,0.5059530078817316,8.095707050949736,5.693268583594249e-16,8.693621127148418e-12,NKG2D/Dap10-12,11.060799290528223,Activation
TNFRSF18,3348.6032748368634,1.297423072096442,0.7591151243042835,1.709125573391136,0.08742769143129554,0.25703758045245473,NKG2D/Dap10-12,0.590003375540468,Activation
TNFRSF4,2648.7120502301223,2.3783703995664056,0.6625776928817255,3.5895720986655077,3.3122121421080803e-4,0.00873531596027467,NKG2D/Dap10-12,2.058721381771822,Activation
TNFRSF8,422.387357082927,2.2846046036623213,1.3436286171297782,1.7003244605958376,0.08906991190737164,0.2600568938481003,NKG2D/Dap10-12,0.5849316290242952,Activation
TNFRSF9,4671.229029728614,3.1431484025771437,0.8332624467027844,3.772098952754402,1.6188002887118462e-4,0.00568254722037468,NKG2D/Dap10-12,2.245456946722578,Activation
TNFSF13B,175.8331403163972,-1.760153725465238,0.6733518738886647,-2.6140177130572155,0.00894843971733649,0.06430243505116622,NKG2D/Dap10-12,1.1917725805864974,Activation
TOP2A,3989.5442825525097,0.46223779509215074,0.5133729474436648,0.900393753496087,0.36791074382864336,0.5977228490545148,NKG2D/Dap10-12,0.22350014214419453,Proliferation
ULBP1,8.147143972440439,1.511727597555664,1.2392570069223778,1.21986608839917,0.22251564309791272,0.44375262767469337,NKG2D/Dap10-12,0.35285906226081387,NA
ULBP2,11.334227455852142,0.5720822938017383,0.9296534651754488,0.6153715499718727,0.5383093754599262,0.7352643761897797,NKG2D/Dap10-12,0.13355647523455644,NA
ULBP3,29.18383410529467,-1.7013985268733578,0.688455197348442,-2.471327885135049,0.01346123322801162,0.0815686632506895,NKG2D/Dap10-12,1.0884766548634417,NA
CDC20,2991.2005236185596,1.2696100934669976,0.449956840512313,2.8216263853694095,0.00477808062177074,0.03671864740717315,NKG2D-CD3ζ,1.4351133251401904,Proliferation
CDK1,1483.380445990774,1.322362958840522,0.45572862028021194,2.9016456285485126,0.00371208196876871,0.03117903831853594,NKG2D-CD3ζ,1.506137284252826,Proliferation
CRTAM,2684.302560885621,2.552923372945918,0.7908551179787026,3.2280544374180393,0.00124635253367498,0.01557778804473768,NKG2D-CD3ζ,1.8074942095751396,Activation
DUSP4,6596.980547364267,2.3344951507416134,0.5393177158620883,4.328608317659231,1.50054527901956e-5,7.764975636364987e-4,NKG2D-CD3ζ,3.1098599025894917,Activation
GNLY,45989.14793838967,-0.7973670052925727,1.2782193083478324,-0.6238107968523904,0.5327518481527764,0.7301990108259562,NKG2D-CD3ζ,0.13655875970883294,Cytotoxicity
GZMA,13014.881674171866,-0.19090984575796796,0.5417584398640538,-0.35238924160715235,0.7245463691632494,0.8587257883516625,NKG2D-CD3ζ,0.06614549462934059,Cytotoxicity
GZMB,50256.09671662084,2.130457065010859,0.7980436564202672,2.669599648930627,0.00759417352089132,0.05091426400270262,NKG2D-CD3ζ,1.2931605298473972,Cytotoxicity
GZMH,772.8482035055544,-1.8262410612235125,0.903492994652877,-2.021311810973317,0.0432474972807438,0.15704858108845607,NKG2D-CD3ζ,0.8039659830364894,Cytotoxicity
GZMK,1059.197527726015,-2.735476628028631,0.7393984985239163,-3.699597217859579,2.1594190986559656e-4,0.00492889830141653,NKG2D-CD3ζ,2.307250142605931,Cytotoxicity
ID3,304.0281243052165,0.17087604686260324,0.5855756950610158,0.29180863943609936,0.770432939287202,0.883885122683364,NKG2D-CD3ζ,0.05360417596732878,Activation
IFNG,2102.639838803414,3.7617289665682105,0.5336357389382155,7.049244816422884,1.7989140880239145e-12,4.578236354020863e-9,NKG2D-CD3ζ,8.339301790386383,Activation
IL2RA,13281.36207594541,2.7873899613573396,0.4727292622097695,5.896377026308262,3.715694397627138e-9,2.026380480420229e-6,NKG2D-CD3ζ,5.693279006639643,Activation
KLRD1,1425.264827733504,-1.20220444886717,0.6342974919555109,-1.895332181057231,0.0580484073047442,0.1893206278392661,NKG2D-CD3ζ,0.7228020639617202,Cytotoxicity
KLRG1,144.36621190580885,-3.4286686709922742,0.8281736888608463,-4.140035740218228,3.4725171511670884e-5,0.00141400898395523,NKG2D-CD3ζ,2.849547831225267,Cytotoxicity
KLRK1,4732.719776851656,-0.7374257104039432,0.6473696706391909,-1.1391106872149788,0.25465699051233603,0.47375880179378305,NKG2D-CD3ζ,0.3244427083484907,Cytotoxicity
LAIR2,686.7978553050176,0.4140557110541023,0.6941951053695185,0.5964543798298627,0.550871721535301,0.7421095004714641,NKG2D-CD3ζ,0.12953200854593822,Activation
LAYN,609.0287253517114,1.9219349811826412,0.4158784097435996,4.621386771117948,3.811833623891894e-6,2.8673250954103067e-4,NKG2D-CD3ζ,3.5425230642426913,Activation
MCM2,5605.334035023605,2.105005287319925,0.7243350205200247,2.906121100990906,0.00365939791887725,0.03095066431708559,NKG2D-CD3ζ,1.5093300249589443,Proliferation
MCM3,4624.870350814302,1.3274671788126546,0.42926331304791926,3.092431005545698,0.0019852437615336,0.02142379663506582,NKG2D-CD3ζ,1.6691035628436381,Proliferation
MCM4,4604.829875438745,1.6478938674923669,0.670580060503466,2.457415548943018,0.01399407088879919,0.07594581164611881,NKG2D-CD3ζ,1.119496172151894,Proliferation
MICA,108.67850622643223,-0.2990633076026217,0.3356848945272393,-0.8909048708426588,0.3729802069884841,0.5954187793302732,NKG2D-CD3ζ,0.22517747195517407,NA
MICB,671.3195867285755,0.44565890947144066,0.2749194581077076,1.6210526258815807,0.10500635280496584,0.27523237968612724,NKG2D-CD3ζ,0.5603004748994684,NA
MKI67,1898.8567532480488,1.9252349285561017,0.8104974349235399,2.375374486826998,0.01753115357984741,0.08731269248671558,NKG2D-CD3ζ,1.05892261910923,Proliferation
NKG7,11528.811850720756,-0.92390898669886,0.44258207841497427,-2.0875426994415793,0.03683910547116636,0.14148217820541004,NKG2D-CD3ζ,0.8492982625743627,Cytotoxicity
NPW,231.1274626061899,5.59698637001435,1.2279827540699428,4.557870500594636,5.167488115485612e-6,3.619612088232353e-4,NKG2D-CD3ζ,3.4413379700654914,Activation
PCNA,9527.029658196374,1.23438060780444,0.4441793559834986,2.779013907729421,0.00545241906000912,0.04033839101082333,NKG2D-CD3ζ,1.3942814286085485,Proliferation
PRF1,10971.366635093616,-0.368034258047995,0.4720020382161021,-0.7797302304857712,0.4355496809267675,0.6530494683071636,NKG2D-CD3ζ,0.1850539197982593,Cytotoxicity
RAET1E,1.7582972757107589,-0.2566991041836788,4.579727601374188,-0.0560511730231846,0.9553010410276346,NA,NKG2D-CD3ζ,0,NA
RGS16,2289.1352456984127,4.60367278856247,0.5058131855620136,9.101527836699804,8.906989118582279e-20,1.3600972384075141e-15,NKG2D-CD3ζ,14.866430041192883,Activation
