gene,HCT 116,A549,PC-3,K-562,SK-N-SH,NCI-H929,Hep G2,MCF7,PANC-1
PEX11A,2.6757323924211,2.94840835072779,3.37718067822442,0.0531321945503364,3.03505023644014,1.06647500595598,3.13460867356372,4.10994554306482,2.14721225289843
TMEM170A,4.89674168975068,3.82692468293635,3.4179834482836,4.11866703843253,3.78747425693126,4.24087145316585,3.82513433461884,4.3747473864078,4.19346425103106
MESP1,1.06294370331595,1.08640334441624,2.68553429835498,0.600002316251363,1.01074403942469,2.01987623697322,0.0226731881493149,0.397164421173929,0.771932893067336
ANPEP,0.0694657074751595,1.26517882019405,6.8226409325952,2.56640115679841,4.62719825012756,0.131568413320173,6.84375777732314,0.165873359388126,7.93088514710565
SCNN1G,0,0.355370408585812,1.88334319784753,0.00853134950543805,0,0.213562542216464,0,0.618241475192128,0.987237176273817
RBPMS2,3.31919014869587,2.38574025160346,0.137250374138532,0.782587213193688,3.33604910945052,0.169705695128395,0.612963892576955,0.353235202201101,4.22349205712224
NAV2,0.837711584984515,2.28951284700103,2.79964686372579,0.635980933483746,5.20659634188368,1.58588072429369,4.03984903575416,2.7702201319496,3.04205067933713
ANKDD1A,2.31616891793116,1.39797268070756,1.37507280414742,0.640483962672228,2.64976719271373,2.14379828307674,0.373417695766944,0.863976499022213,2.05280538314385
GLYATL1,0.109581209674046,0.086342195852875,0.0438400180684942,0,0.490026835508721,0.0101281518911807,0.0222570097944156,0,0
C18orf54,3.35279382940117,2.22809523802147,2.3613107785116,3.1362291269058,2.54548409566443,1.30046348684171,1.54039434577666,1.78496038027968,2.18349604240839
DCTN5,6.00500018185584,5.88668914268612,4.66486394368227,6.25734446689557,6.39616291492167,5.35105582966081,6.565630684007,6.71472633588117,6.08701935652964
TERF2IP,5.0863804140087,4.59405283654679,3.81836999144439,5.69722336464497,5.49076264807755,5.99533752835254,4.954959340786,5.79151716834828,4.49881889665615
PLK1,7.24711102077245,6.53542158304911,5.61559874144712,6.38899368094067,6.34782685216841,5.29119833248178,6.78743246451687,5.70934854089893,6.78510585275755
CLPX,5.678379008673,5.49610757632278,3.88424623952767,5.54668459807319,4.87745470046122,5.31296280034753,5.07056106707866,5.87924504960878,5.32065435439308
GPR182,0.458032312980941,0.00822009694836453,0.0979532275174345,0.312310845036025,0.155714265677801,0.195458473680424,0.0711722926995124,0.0701667234837364,0.00668723870544294
ZBTB39,3.60699882573193,2.27929893455087,1.28380327092837,3.23695328881111,2.81692527449775,2.30607262925447,2.34427744130111,2.06053857749014,1.91588033465826
CACNG2,0,0,0,0,0.784235101498545,0,0,0,0.0341480874228296
TAC3,0.0995281715171965,0.149098045222694,0,1.63889866068267,0.253835612539067,0.128231362469252,0.0998836096353718,0,0.145922611013663
MYO1A,0.0629312733202986,0.266941219289132,0,0.271248764777478,0.0794293150029151,0.209655484742773,1.83329492436692,0.0838464830625134,0.174284963679886
CHP2,0,0,0,1.46511773239297,0,0,0.167004597621757,0,0.0382198314168853
NEMP1,4.28394399023265,4.13638007950834,3.87816620107316,6.04593654105698,4.29807906866404,3.7788603758753,3.18236336368424,4.65167170147249,4.93637881948176
OR4D6,0,0,0,0,0,0,0,0,0
NAB2,4.89838251041178,2.44562607133166,3.13034774509528,4.17655415981503,4.22352294813061,2.73818848113006,3.44947553665679,5.56005152902734,4.15551448424813
VPS39,4.53702266228079,3.87233628810464,4.53136898309984,5.21007320140756,5.76129857248027,5.29669233094699,4.06843865392908,4.58949385515879,4.85514256274206
STAT6,5.2712874659815,4.94612259199659,4.52765215189954,5.32185235140943,0.42877808751424,5.08610437124329,4.79103782785351,2.50792400133879,4.68934948622932
PATL1,5.2001708227103,4.8087454219637,3.87941170879425,4.82944875555238,4.53835812590697,3.36336174141533,4.15437257653267,3.69662819226769,5.06481388745851
ATP23,3.81669185586565,2.89958362727943,3.81840067087351,4.6823373232537,3.28981971361906,3.69215934617678,3.24929818172063,3.98387830837822,3.98532736938387
ELFN2,3.96756520190839,1.38024736155844,2.35893913980078,0.0361136391610915,2.00910347740421,0.113000315514505,0.0026549997605405,0.672691452230329,2.52409126530035
STX3,4.75971511599701,2.88878415511442,3.97781110387507,5.99341849389657,4.23969589892877,2.3905823978628,3.80257581650264,4.75989617043871,5.26755826977909
MRPL16,6.54056204138033,5.74560038083549,5.9202790065962,6.64141308231328,5.52983343734078,5.88053860382499,5.57194372632846,5.95918823122105,5.59585271514559
PIP4K2C,5.32281507961765,4.86785693755966,4.91693040098268,4.74405881132605,4.53232942855322,3.26786235250884,3.97970527535234,5.88241806920401,5.31567128413806
MTMR10,3.28012340686519,3.52973350781593,2.28219068507469,2.5916626635782,3.63210532137973,4.12401375206042,3.25843148599853,2.66968671557486,3.74346111102567
YWHAB,7.50496195927228,7.64044740552882,7.08451078465348,6.89110319814101,7.53236371835377,6.40799678905756,7.16181715785089,7.69171560702623,7.60398975451752
C15orf48,0.476715555709171,4.71806565833736,4.86574564117421,0.366901274502275,0.315185943984589,0.837688982319033,0.209555676373738,1.61710567172809,7.81840322746315
SCG5,1.2166348997687,1.06402746332298,0.881671666388815,0.285660253236817,4.33844580901505,0.675085141865659,0.390119555412137,0.902002552575749,0.486269527107904
