File	TF	CellLine	Assay	Target	Lab	OutputType
ENCFF735PKA	MYC	HepG2	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF735PSU	CEBPB	A549	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
ENCFF735QWM	CEBPB	HCT116	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF735WMX	SP1	HepG2	TF ChIP-seq	SP1-human	ENCODE Processing Pipeline	optimal IDR thresholded peaks
ENCFF737ZVZ	CEBPB	A549	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF738LQC	CREB1	HepG2	TF ChIP-seq	CREB1-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF738TVZ	CEBPB	A549	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF739NHL	MYC	K562	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF739NKN	CEBPB	A549	TF ChIP-seq	CEBPB-human	Tim Reddy, Duke	peaks
ENCFF739VOM	SRF	K562	TF ChIP-seq	SRF-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF740QPT	SP1	HepG2	TF ChIP-seq	SP1-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF741WKY	SP1	HepG2	TF ChIP-seq	SP1-human	ENCODE Processing Pipeline	optimal IDR thresholded peaks
ENCFF742EMB	CREB1	HepG2	TF ChIP-seq	CREB1-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF743YVY	ATF4	K562	TF ChIP-seq	ATF4-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF744SEA	CEBPB	A549	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
ENCFF746CRJ	MYC	MCF-7	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF746VUX	STAT3	HeLa-S3	TF ChIP-seq	STAT3-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF747DHB	CREB1	MCF-7	TF ChIP-seq	CREB1-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF747YIP	CEBPB	A549	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF750ITL	CEBPB	A549	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF751AYI	CEBPB	A549	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF752KOW	FOXO1	HepG2	TF ChIP-seq	FOXO1-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF753PAD	SP1	A549	TF ChIP-seq	SP1-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF754FOA	CEBPB	A549	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF754WVZ	CREB1	Ishikawa	TF ChIP-seq	CREB1-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF755BEU	MYC	NB4	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF755FKJ	TCF12	A549	TF ChIP-seq	TCF12-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF755NTM	CEBPB	K562	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF755QZO	TCF3	K562	TF ChIP-seq	TCF3-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF757UIC	CEBPB	HepG2	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	IDR thresholded peaks
