"CAR_group","n_cells","S_mean","G2M_mean","NKG2DL_mean","S_z","G2M_z","NKG2DL_z","CD4-CM","CD4-EM","CD4-Naive","CD8-CM","CD8-EM","CD8-Naive","CD8-TEMRA","gdT","MAIT","Treg","radius_fixed"
"CD223-FCER1G",181,-0.155658760182342,-0.137862507620125,0.0257871171049968,-1.08428348488143,-0.858937685876458,-0.499126089647906,0,0.0718232044198895,0,0,0,0,0,0,0,0,0.24
"CD223-FCER1G",181,-0.155658760182342,-0.137862507620125,0.0257871171049968,-1.08428348488143,-0.858937685876458,-0.499126089647906,0,0,0.12707182320442,0,0,0,0,0,0,0,0.24
"CD223-FCER1G",181,-0.155658760182342,-0.137862507620125,0.0257871171049968,-1.08428348488143,-0.858937685876458,-0.499126089647906,0,0,0,0.464088397790055,0,0,0,0,0,0,0.24
"CD223-FCER1G",181,-0.155658760182342,-0.137862507620125,0.0257871171049968,-1.08428348488143,-0.858937685876458,-0.499126089647906,0,0,0,0,0.0497237569060773,0,0,0,0,0,0.24
"CD223-FCER1G",181,-0.155658760182342,-0.137862507620125,0.0257871171049968,-1.08428348488143,-0.858937685876458,-0.499126089647906,0,0,0,0,0,0.0662983425414365,0,0,0,0,0.24
"CD223-FCER1G",181,-0.155658760182342,-0.137862507620125,0.0257871171049968,-1.08428348488143,-0.858937685876458,-0.499126089647906,0,0,0,0,0,0,0.0386740331491713,0,0,0,0.24
"CD223-FCER1G",181,-0.155658760182342,-0.137862507620125,0.0257871171049968,-1.08428348488143,-0.858937685876458,-0.499126089647906,0,0,0,0,0,0,0,0,0,0.0773480662983425,0.24
"CD223-FCER1G",181,-0.155658760182342,-0.137862507620125,0.0257871171049968,-1.08428348488143,-0.858937685876458,-0.499126089647906,0,0,0,0,0,0,0,0.0165745856353591,0,0,0.24
"CD30-CD79B",319,-0.0414409176318072,-0.0686795031851704,0.0256198273327589,0.0172672164641728,-0.143475498177676,-0.523109337793148,0.0846394984326019,0,0,0,0,0,0,0,0,0,0.24
"CD30-CD79B",319,-0.0414409176318072,-0.0686795031851704,0.0256198273327589,0.0172672164641728,-0.143475498177676,-0.523109337793148,0,0.0250783699059561,0,0,0,0,0,0,0,0,0.24
