"Program","Program_clean","Gene","rho","p_value","n_cells","FDR"
"TCAT_IEG2","IEG2","ULBP1",0.0225936694603739,0.0588181364855877,6995,0.108349198789241
"TCAT_IEG2","IEG2","ULBP2",0.0124749065335289,0.296852494643684,6995,0.41485007662395
"TCAT_IEG2","IEG2","ULBP3",-0.163963975297371,2.39831799762017e-43,6995,1.67882259833412e-41
"TCAT_IEG2","IEG2","NKG2DL_sum",-0.0192463286768579,0.107496221490857,6995,0.176360988383438
"TCAT_CD4-Naive","CD4-Naive","MICA",-0.0291603458287529,0.0147303797717436,6995,0.0336236929572408
"TCAT_CD4-Naive","CD4-Naive","MICB",-0.0874352243326909,2.38066618895061e-13,6995,2.17365173773751e-12
"TCAT_CD4-Naive","CD4-Naive","ULBP1",-0.0178550283970642,0.135390761889788,6995,0.215271651173799
"TCAT_CD4-Naive","CD4-Naive","ULBP2",-0.0245058789215789,0.0404114875740265,6995,0.0771492035504142
"TCAT_CD4-Naive","CD4-Naive","ULBP3",-0.0862718862566071,4.91480973989363e-13,6995,4.12844018151065e-12
"TCAT_CD4-Naive","CD4-Naive","NKG2DL_sum",-0.0966408554468722,5.48751305320084e-16,6995,6.06514600616935e-15
"TCAT_Treg","Treg","MICA",0.00568363218465515,0.634590398760429,6995,0.701284882815785
"TCAT_Treg","Treg","MICB",-0.0268761425780313,0.0245876391193873,6995,0.0506216099516797
"TCAT_Treg","Treg","ULBP1",0.00189030539809923,0.874401884468881,6995,0.90011958695326
"TCAT_Treg","Treg","ULBP2",0.00724571800913669,0.544578922949935,6995,0.63256574375862
"TCAT_Treg","Treg","ULBP3",-0.144989992999348,3.57121166169757e-34,6995,9.37443061195612e-33
"TCAT_Treg","Treg","NKG2DL_sum",-0.0370124718084037,0.00196092836256061,6995,0.0055647967045639
"TCAT_Th17-Resting","Th17-Resting","MICA",-0.0221200209034005,0.0643238776754749,6995,0.116448399240084
"TCAT_Th17-Resting","Th17-Resting","MICB",-0.0408460449056422,0.00063310628078229,6995,0.00198436296961613
"TCAT_Th17-Resting","Th17-Resting","ULBP1",0.00920619184875986,0.441389562541502,6995,0.535503507706563
"TCAT_Th17-Resting","Th17-Resting","ULBP2",0.0272779556708819,0.0225224792749391,6995,0.0468289173043288
"TCAT_Th17-Resting","Th17-Resting","ULBP3",-0.0854940682305167,7.93752381258046e-13,6995,6.41107692554575e-12
"TCAT_Th17-Resting","Th17-Resting","NKG2DL_sum",-0.0480283301717395,5.85687836511311e-05,6995,0.000227767491976621
"TCAT_CD8-Naive","CD8-Naive","MICA",-0.0213943291311327,0.0735788130649392,6995,0.130598849670122
"TCAT_CD8-Naive","CD8-Naive","MICB",-0.0669902736352933,2.04553640207609e-08,6995,1.16098012009724e-07
"TCAT_CD8-Naive","CD8-Naive","ULBP1",-0.0157464137476881,0.187900587103321,6995,0.281850880654982
"TCAT_CD8-Naive","CD8-Naive","ULBP2",-0.0289960823330693,0.0153001149574728,6995,0.0345486466781645
"TCAT_CD8-Naive","CD8-Naive","ULBP3",0.0209402631945655,0.0799043531582794,6995,0.136731752827307
"TCAT_CD8-Naive","CD8-Naive","NKG2DL_sum",-0.0640548765952742,8.23737843808246e-08,6995,4.21914505365199e-07
"TCAT_TIMD4/TIM3","TIMD4/TIM3","MICA",-0.0343298488319735,0.00408466132598817,6995,0.010857960486804
"TCAT_TIMD4/TIM3","TIMD4/TIM3","MICB",0.00718019542196858,0.548223644590804,6995,0.63256574375862
"TCAT_TIMD4/TIM3","TIMD4/TIM3","ULBP1",-0.0144662226891162,0.226376465704371,6995,0.330132345818875
"TCAT_TIMD4/TIM3","TIMD4/TIM3","ULBP2",-0.0119609614937547,0.31720145587522,6995,0.429756811185782
"TCAT_TIMD4/TIM3","TIMD4/TIM3","ULBP3",0.0184238001579361,0.12337752573539,6995,0.200772057251254
"TCAT_TIMD4/TIM3","TIMD4/TIM3","NKG2DL_sum",0.00637100501551243,0.594202289542955,6995,0.67816565654359
"TCAT_IL10/IL19","IL10/IL19","MICA",0.0255302726707935,0.0327431040409186,6995,0.0636671467462307
"TCAT_IL10/IL19","IL10/IL19","MICB",0.0374646075146889,0.00172479375146222,6995,0.0050306484417648
"TCAT_IL10/IL19","IL10/IL19","ULBP1",-0.0209062081765549,0.0803960597300665,6995,0.136731752827307
"TCAT_IL10/IL19","IL10/IL19","ULBP2",-0.00178839202355193,0.881121589793734,6995,0.902612360276508
"TCAT_IL10/IL19","IL10/IL19","ULBP3",-0.0159845735163011,0.181309437832893,6995,0.273920733416601
"TCAT_IL10/IL19","IL10/IL19","NKG2DL_sum",0.0375760419762586,0.00167075883952039,6995,0.00494168107463778
"TCAT_Th2-Activated","Th2-Activated","MICA",-0.000504523101013111,0.966348179342711,6995,0.970971854841959
"TCAT_Th2-Activated","Th2-Activated","MICB",0.0449292312497269,0.000170639528605526,6995,0.000587447557494433
"TCAT_Th2-Activated","Th2-Activated","ULBP1",0.0111553158719822,0.350897636067905,6995,0.454867306013951
"TCAT_Th2-Activated","Th2-Activated","ULBP2",0.010763304539601,0.368085030439754,6995,0.467177645243859
"TCAT_Th2-Activated","Th2-Activated","ULBP3",0.122204776988168,1.09651468178318e-24,6995,1.77129294749591e-23
"TCAT_Th2-Activated","Th2-Activated","NKG2DL_sum",0.044127984350652,0.000222644548967195,6995,0.000719313158201708
"TCAT_Th2-Resting","Th2-Resting","MICA",-0.0467188028462973,9.27498715261491e-05,6995,0.000347812018223059
"TCAT_Th2-Resting","Th2-Resting","MICB",-0.0685554942803549,9.49881064312712e-09,6995,5.54097287515749e-08
"TCAT_Th2-Resting","Th2-Resting","ULBP1",-0.0238729889608079,0.0458717206921647,6995,0.0852483304898636
"TCAT_Th2-Resting","Th2-Resting","ULBP2",-0.00599436724357255,0.616187798273216,6995,0.691975602338906
"TCAT_Th2-Resting","Th2-Resting","ULBP3",0.00580388247287665,0.627441194314258,6995,0.697156882571398
"TCAT_Th2-Resting","Th2-Resting","NKG2DL_sum",-0.0701818034522746,4.20474832062511e-09,6995,2.75936608541023e-08
"TCAT_ICOS/CD38","ICOS/CD38","MICA",-0.0280057544346017,0.0191635906050299,6995,0.0406826864756662
"TCAT_ICOS/CD38","ICOS/CD38","MICB",-0.00744264484892387,0.533697756339417,6995,0.626125859392613
"TCAT_ICOS/CD38","ICOS/CD38","ULBP1",-0.0123038250428692,0.303527052111067,6995,0.419346585153448
"TCAT_ICOS/CD38","ICOS/CD38","ULBP2",0.0128682267679687,0.281882211519283,6995,0.397283653819123
