ModelID	MICA	MICB	ULBP1	ULBP2	ULBP3	RAET1E	RAET1G	RAET1L	CellLineName	StrippedCellLineName	CCLEName	OncotreeLineage	OncotreePrimaryDisease	OncotreeSubtype
ACH-000142	0.244324609721168	-0.218864497003441	0.206356590749176	0.0400092335837972	-0.107229315157453	0.083295749090871	-0.367366547449331	-0.187537572816416	CAL-29	CAL29	CAL29_URINARY_TRACT	Bladder/Urinary Tract	Bladder Urothelial Carcinoma	Bladder Urothelial Carcinoma
ACH-000178	0.210651618742371	-0.322545918063712	-0.0919575523348784	-0.133393762669572	-0.0944873934793195	0.105617529982523	-0.00623015426645161	0.00309283927086709	Hs 766T	HS766T	HS766T_PANCREAS	Pancreas	Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma
ACH-000183	-0.0101601594887562	-0.0781826460823739	-0.0531117197418115	-0.127169603088264	0.257930232833533	0.112834718409894	0.13092696609756	-0.0763321167407914	L-363	L363	L363_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Lymphoid	Mature B-Cell Neoplasms	Plasma Cell Myeloma
ACH-000192	0.303180120212059	-0.0532919485497453	0.0573075965029362		-0.273393527703172	0.323189076189634			MFE-280	MFE280	MFE280_ENDOMETRIUM	Uterus	Endometrial Carcinoma	Endometrial Carcinoma
ACH-000207	0.0368116622932638	-0.347913481371363	-0.0307409889643854	-0.385958873084416	-0.00231295446014027	0.124383376739835	-0.00288444711685373	0.0240592132478243	Detroit 562	DETROIT562	DETROIT562_UPPER_AERODIGESTIVE_TRACT	Head and Neck	Head and Neck Squamous Cell Carcinoma	Oropharynx Squamous Cell Carcinoma
ACH-000209	-0.0654518496781141	-0.286796572208078	-0.172747911487604	-0.335978407403472	0.0797196516932431	0.357615147764327	-0.142771074659644	0.0778515543493167	SNU-1079	SNU1079	SNU1079_BILIARY_TRACT	Biliary Tract	Intraductal Papillary Neoplasm of the Bile Duct	Intrahepatic Cholangiocarcinoma
ACH-000227	0.0132982001591429	-0.304960156495906	-0.0883668989196156	-0.00645781199574565	-0.184068650775662	0.238218917823136	0.0489137006875554	0.20504639002234	KP-N-YN	KPNYN	KPNYN_AUTONOMIC_GANGLIA	Peripheral Nervous System	Neuroblastoma	Neuroblastoma
ACH-000244	-0.201015681412228	0.0132024420212661	-0.033103499799915	-0.026528889654614	0.137135285867805	-0.0150447244213549	0.0689438875196707	-0.137601831157148	DK-MG	DKMG	DKMG_CENTRAL_NERVOUS_SYSTEM	CNS/Brain	Diffuse Glioma	Glioblastoma
ACH-000265	0.0682914149971263	-0.170523330632431	0.213993744303382	-0.0671746908970333	0.050099127604846	0.204152719931586	-0.0227456313718695	-0.0470425495503963	KP-4	KP4	KP4_PANCREAS	Pancreas	Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma
ACH-000274	-0.0510693134645134	-0.17232552273934	0.103971175949336	-0.180501466696263	0.0176139777393177	0.0938562888443913	-0.112489853878854	-0.0983956932984317	Hs 852.T	HS852T	HS852T_SKIN	Skin	Melanoma	Melanoma
